time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
1001,-1.89,-0.11,-0.41,0.00,0.03,1.05
1035,-2.00,-0.12,-0.47,0.01,0.03,1.05
1069,-1.88,0.07,-0.39,0.01,0.03,1.05
1101,-1.90,-0.13,-0.26,0.01,0.03,1.05
1135,-1.91,-0.24,-0.53,0.00,0.03,1.05
1169,-1.89,-0.14,-0.26,0.00,0.04,1.06
1202,-1.93,-0.08,-0.47,0.01,0.04,1.04
1235,-1.76,-0.33,-0.42,0.00,0.03,1.06
1269,-1.96,-0.27,-0.27,0.01,0.03,1.05
1302,-1.91,-0.14,-0.48,0.01,0.03,1.04
1336,-1.95,-0.15,-0.40,0.01,0.03,1.04
1370,-1.75,-0.17,-0.26,0.01,0.03,1.05
1402,-1.95,-0.36,-0.42,0.01,0.03,1.05
1436,-1.89,-0.03,-0.39,-0.00,0.04,1.05
1470,-1.95,-0.16,-0.55,0.00,0.03,1.05
1503,-1.76,-0.09,-0.33,-0.00,0.04,1.06
1537,-1.79,-0.17,-0.27,0.01,0.03,1.05
1569,-1.69,-0.02,-0.44,0.01,0.03,1.05
1603,-1.94,-0.19,-0.27,0.01,0.03,1.04
1637,-1.92,-0.21,-0.36,0.00,0.03,1.05
1670,-1.87,-0.15,-0.31,0.01,0.03,1.05
1703,-1.89,-0.13,-0.36,0.01,0.03,1.05
1737,-1.78,-0.05,-0.66,0.00,0.03,1.05
1770,-1.85,-0.09,-0.42,0.01,0.03,1.04
1804,-1.96,-0.11,-0.47,0.00,0.03,1.05
1838,-1.91,-0.25,-0.23,0.00,0.03,1.05
1870,-1.78,-0.11,-0.44,0.00,0.03,1.05
1904,-2.03,-0.01,-0.44,0.01,0.03,1.05
1938,-1.73,-0.25,-0.45,0.01,0.03,1.05
1971,-1.88,-0.15,-0.37,0.01,0.03,1.05
2004,-1.95,-0.08,-0.47,0.01,0.04,1.05
2038,-1.79,-0.22,-0.27,0.01,0.03,1.05
2071,-1.75,0.00,-0.49,0.01,0.03,1.06
2105,-1.86,-0.15,-0.54,0.01,0.04,1.05
2138,-1.89,-0.11,-0.47,0.00,0.03,1.04
2171,-1.84,-0.18,-0.40,0.00,0.03,1.05
2205,-1.85,-0.18,-0.45,0.01,0.03,1.05
2238,-1.82,-0.08,-0.40,0.01,0.03,1.04
2272,-1.98,-0.19,-0.53,0.00,0.03,1.06
2306,-2.00,-0.23,-0.45,0.00,0.04,1.06
2338,-1.86,-0.21,-0.55,0.01,0.03,1.05
2372,-1.88,-0.11,-0.59,0.01,0.03,1.04
2406,-2.05,-0.07,-0.51,0.01,0.03,1.05
2439,-1.95,-0.07,-0.20,0.01,0.03,1.05
2472,-1.83,-0.27,-0.43,0.00,0.03,1.05
2506,-1.89,-0.18,-0.29,0.01,0.03,1.05
2539,-1.81,-0.09,-0.38,0.00,0.03,1.05
2573,-1.92,-0.08,-0.34,0.00,0.03,1.05
2607,-1.79,-0.27,-0.35,0.01,0.03,1.05
2639,-1.74,-0.05,-0.34,0.01,0.04,1.05
2673,-1.84,-0.06,-0.59,0.01,0.04,1.04
2706,-1.76,-0.24,-0.47,0.00,0.04,1.05
2740,-1.93,-0.31,-0.40,0.01,0.03,1.05
2774,-1.79,-0.27,-0.38,0.01,0.03,1.05
2806,-1.86,-0.21,-0.44,0.00,0.04,1.05
2840,-1.84,-0.02,-0.19,0.01,0.03,1.05
2874,-1.92,-0.16,-0.50,0.00,0.03,1.05
2907,-1.76,-0.18,-0.46,0.00,0.03,1.05
2940,-1.88,-0.04,-0.28,0.01,0.03,1.05
2974,-1.81,-0.05,-0.33,0.01,0.04,1.04
3007,-1.83,-0.22,-0.47,0.00,0.04,1.05
