time;Flex6;GyroY;angle;filteredAngle
3;664;4.85;12.60;11.62
38;664;-0.99;12.60;13.12
74;664;1.27;12.60;13.24
110;662;-7.56;10.80;12.03
146;662;-4.13;10.80;11.40
181;663;2.70;11.70;11.49
217;658;-0.52;7.20;9.52
252;658;0.92;7.20;8.28
288;662;0.85;10.80;8.82
324;659;-1.32;8.10;8.30
360;662;-19.60;10.80;8.80
395;657;-43.23;6.30;7.88
431;657;-78.98;6.30;7.24
466;655;-44.47;4.50;6.27
502;653;-28.53;2.70;5.08
538;650;-68.42;0.00;3.56
574;650;-15.76;0.00;2.30
610;648;12.07;-1.80;0.87
646;649;-7.37;-0.90;-0.11
680;649;-13.32;-0.90;-0.89
716;649;-4.40;-0.90;-1.54
752;649;1.83;-0.90;-2.08
788;649;-32.05;-0.90;-2.46
824;644;-19.21;-5.40;-3.56
860;648;-21.98;-1.80;-3.86
896;648;-32.69;-1.80;-4.06
930;648;-9.85;-1.80;-4.24
966;647;-2.22;-2.70;-4.54
1002;648;10.05;-1.80;-4.66
1038;643;6.82;-6.30;-5.47
1074;647;5.92;-2.70;-5.59
1110;647;7.71;-2.70;-5.67
1145;647;5.68;-2.70;-5.71
1181;647;6.69;-2.70;-5.72
1216;648;11.24;-1.80;-5.58
1252;647;3.56;-2.70;-5.54
1288;647;10.47;-2.70;-5.51
1324;648;7.65;-1.80;-5.30
1359;642;5.35;-7.20;-5.94
1395;647;8.38;-2.70;-5.80
1431;648;4.31;-1.80;-5.50
1467;648;12.95;-1.80;-5.25
1503;647;0.15;-2.70;-5.09
1538;648;5.16;-1.80;-4.81
1573;647;5.66;-2.70;-4.68
1609;647;3.95;-2.70;-4.55
1645;648;5.24;-1.80;-4.29
1681;648;5.73;-1.80;-4.05
1717;649;4.46;-0.90;-3.67
1753;644;6.06;-5.40;-4.04
1787;648;2.01;-1.80;-3.80
1823;648;9.86;-1.80;-3.61
1859;649;14.56;-0.90;-3.31
1895;645;22.02;-4.50;-3.64
1931;649;8.02;-0.90;-3.32
1967;649;10.34;-0.90;-3.04
2002;648;8.52;-1.80;-2.92
2038;649;8.91;-0.90;-2.67
2073;647;4.96;-2.70;-2.71
2109;649;-3.96;-0.90;-2.43
2145;650;2.34;0.00;-2.06
2181;650;8.31;0.00;-1.75
2216;645;-2.63;-4.50;-2.13
2252;648;-2.87;-1.80;-2.06
2288;647;12.03;-2.70;-2.21
2324;649;2.74;-0.90;-2.03
2360;645;-3.00;-4.50;-2.40
2395;649;2.78;-0.90;-2.20
2430;650;3.98;0.00;-1.89
2466;648;1.16;-1.80;-1.87
2502;649;1.82;-0.90;-1.72
2538;649;2.95;-0.90;-1.60
2574;649;-0.18;-0.90;-1.47
2610;643;5.38;-6.30;-2.23
2644;649;1.92;-0.90;-2.07
2680;649;0.44;-0.90;-1.91
2716;650;3.27;0.00;-1.64
2752;649;6.01;-0.90;-1.55
2788;649;1.13;-0.90;-1.44
2824;644;1.76;-5.40;-2.06
2860;649;1.57;-0.90;-1.92
2894;649;-4.34;-0.90;-1.77
2930;647;3.13;-2.70;-1.94
2966;649;-2.34;-0.90;-1.79
3002;649;6.80;-0.90;-1.70
3038;644;6.27;-5.40;-2.32
3074;649;2.63;-0.90;-2.17
3109;649;3.73;-0.90;-2.03
3145;649;2.89;-0.90;-1.90
3180;649;-1.63;-0.90;-1.76
3216;649;1.99;-0.90;-1.64
3252;643;4.40;-6.30;-2.40
3288;649;1.43;-0.90;-2.23
3323;647;3.13;-2.70;-2.37
3359;649;3.66;-0.90;-2.21
3395;649;4.04;-0.90;-2.06
3430;649;2.06;-0.90;-1.92
3466;649;4.34;-0.90;-1.80
3502;644;6.03;-5.40;-2.40
3537;649;2.51;-0.90;-2.23
3573;649;2.45;-0.90;-2.08
3609;647;1.19;-2.70;-2.21
3645;649;5.98;-0.90;-2.07
3681;649;4.24;-0.90;-1.93
3716;650;1.56;0.00;-1.65
3751;641;2.56;-8.10;-2.67
3787;649;-2.00;-0.90;-2.46
3823;647;3.67;-2.70;-2.56
3859;649;4.73;-0.90;-2.38
3895;649;2.91;-0.90;-2.20
3931;650;2.45;0.00;-1.89
3965;649;3.35;-0.90;-1.75
4001;649;6.83;-0.90;-1.65
4037;650;0.78;0.00;-1.38
4073;649;2.64;-0.90;-1.29
4109;649;2.08;-0.90;-1.21
4145;650;3.08;0.00;-1.00
4180;650;4.46;0.00;-0.83
4215;650;3.37;0.00;-0.66
4251;647;2.59;-2.70;-0.94
4287;647;1.62;-2.70;-1.20
4323;650;5.70;0.00;-1.03
4359;650;5.45;0.00;-0.88
4395;649;2.92;-0.90;-0.87
4430;650;3.30;0.00;-0.73
4466;649;3.40;-0.90;-0.75
4501;646;2.34;-3.60;-1.19
4537;650;1.55;0.00;-1.02
4573;650;-0.17;0.00;-0.86
4609;649;2.26;-0.90;-0.86
4644;650;3.61;0.00;-0.74
4680;650;5.76;0.00;-0.63
4716;650;3.56;0.00;-0.53
4752;649;1.96;-0.90;-0.58
4787;649;6.30;-0.90;-0.64
4823;650;5.44;0.00;-0.56
4858;650;-0.79;0.00;-0.45
4894;649;5.24;-0.90;-0.53
4930;650;6.63;0.00;-0.47
4966;649;-0.04;-0.90;-0.53
5002;649;-1.16;-0.90;-0.57
5037;650;5.23;0.00;-0.51
5072;650;6.98;0.00;-0.46
5108;649;1.55;-0.90;-0.53
5144;645;5.65;-4.50;-1.18
5180;649;5.52;-0.90;-1.21
5216;650;1.65;0.00;-1.08
5252;649;5.07;-0.90;-1.11
5287;649;3.18;-0.90;-1.13
5322;649;2.15;-0.90;-1.14
5358;650;7.47;0.00;-1.03
5394;649;3.57;-0.90;-1.06
