time;Flex6;GyroY;angle;filteredAngle;Offset;P
3;664;2.15;12.60;11.66;-3.64;11.16
38;664;2.84;12.60;13.04;-1.85;9.91
74;665;3.40;13.50;13.86;-1.23;9.05
110;664;4.09;12.60;13.48;-0.54;7.91
146;664;4.75;12.60;13.25;-0.25;6.91
181;665;4.76;13.50;13.56;-0.23;6.10
217;665;2.64;13.50;13.73;-0.19;5.44
252;665;3.90;13.50;13.82;-0.15;4.90
288;660;1.88;9.00;12.20;0.16;4.46
324;664;2.97;12.60;12.29;0.14;4.09
360;665;3.29;13.50;12.65;0.09;3.78
395;665;1.89;13.50;12.90;0.05;3.51
431;665;3.53;13.50;13.10;0.04;3.28
466;665;2.12;13.50;13.24;0.02;3.08
502;664;3.15;12.60;13.14;0.04;2.90
538;665;10.04;13.50;13.32;0.05;2.74
574;665;19.83;13.50;13.57;0.07;2.60
609;662;88.27;10.80;13.89;0.22;2.48
645;710;250.13;54.00;24.47;-0.11;2.37
680;746;250.13;86.40;40.04;-0.75;2.27
716;758;250.13;97.20;55.57;-1.28;2.17
752;764;250.13;102.60;69.98;-1.66;2.09
788;767;224.41;105.30;82.62;-1.92;2.02
824;767;139.79;105.30;92.48;-2.11;1.95
860;767;52.43;105.30;99.66;-2.26;1.89
896;766;11.82;104.40;104.77;-2.35;1.83
931;765;19.67;103.50;108.69;-2.36;1.78
966;764;-21.37;102.60;111.06;-2.35;1.73
1002;762;-250.14;100.80;109.36;-2.46;1.68
1038;755;-250.14;94.50;106.08;-2.51;1.64
1074;714;-250.14;57.60;97.53;-2.29;1.61
1110;678;-250.14;25.20;85.12;-1.91;1.57
1145;664;-178.86;12.60;73.04;-1.49;1.54
1181;661;-90.94;9.90;63.03;-1.09;1.51
1217;656;-39.39;5.40;54.39;-0.72;1.49
1253;660;-27.10;9.00;47.47;-0.42;1.46
1289;660;-9.04;9.00;41.73;-0.17;1.44
1325;659;-10.94;8.10;36.63;0.03;1.42
1360;661;-16.36;9.90;32.31;0.19;1.40
1396;662;-8.38;10.80;28.75;0.32;1.39
1432;656;-10.73;5.40;24.98;0.45;1.37
1467;662;-5.69;10.80;22.34;0.53;1.36
1503;662;-11.18;10.80;19.95;0.59;1.34
1539;662;0.71;10.80;18.02;0.64;1.33
1574;662;-0.82;10.80;16.33;0.68;1.32
1610;663;3.15;11.70;15.01;0.70;1.31
1646;662;6.21;10.80;13.83;0.72;1.30
1682;663;1.65;11.70;12.83;0.73;1.30
1718;663;6.74;11.70;12.05;0.74;1.29
1753;663;2.43;11.70;11.31;0.74;1.28
1788;661;1.53;9.90;10.47;0.75;1.28
1824;664;5.11;12.60;10.07;0.74;1.27
1860;664;4.30;12.60;9.72;0.72;1.27
1896;662;10.44;10.80;9.35;0.72;1.26
1932;664;35.09;12.60;9.65;0.71;1.26
1968;672;229.95;19.80;14.04;0.76;1.26
2003;726;250.13;68.40;23.95;0.60;1.26
2039;752;250.13;91.80;35.97;0.37;1.25
2075;761;250.13;99.90;48.22;0.15;1.25
2111;765;250.13;103.50;60.12;-0.03;1.25
2147;766;170.61;104.40;69.97;-0.21;1.25
2183;766;80.24;104.40;77.41;-0.38;1.25
2219;761;91.89;99.90;83.70;-0.49;1.25
2253;765;34.84;103.50;88.66;-0.60;1.24
2289;765;62.54;103.50;93.38;-0.67;1.24
2325;764;4.88;102.60;96.45;-0.74;1.24
2361;764;7.05;102.60;99.01;-0.78;1.24
2397;763;22.98;101.70;101.30;-0.80;1.24
2433;762;-0.89;100.80;102.75;-0.81;1.24
2468;755;-250.14;94.50;99.02;-0.89;1.24
2504;754;-250.14;93.60;94.84;-0.96;1.24
2540;716;-250.14;59.40;86.98;-0.89;1.24
2576;680;-250.14;27.00;76.01;-0.69;1.24
2612;660;-214.27;9.00;64.31;-0.44;1.24
2648;656;-97.11;5.40;54.97;-0.17;1.24
2683;655;-46.10;4.50;47.26;0.07;1.24
2718;658;-26.54;7.20;40.98;0.28;1.24
2754;658;-10.48;7.20;35.69;0.45;1.24
2790;658;-17.70;7.20;30.92;0.60;1.24
2826;659;-15.69;8.10;26.80;0.71;1.24
2862;659;-18.54;8.10;23.11;0.80;1.24
2897;657;-11.31;6.30;19.77;0.88;1.24
2933;660;-8.47;9.00;17.13;0.93;1.24
2969;660;-1.18;9.00;14.93;0.97;1.24
3005;661;2.02;9.90;13.16;1.00;1.24
3041;661;2.95;9.90;11.65;1.02;1.24
3077;661;9.45;9.90;10.46;1.03;1.24
3111;659;4.18;8.10;9.18;1.04;1.24
3147;662;9.02;10.80;8.43;1.04;1.24
3183;662;9.12;10.80;7.81;1.03;1.24
3219;661;10.28;9.90;7.23;1.02;1.24
3255;663;23.69;11.70;7.17;1.00;1.24
3291;664;66.09;12.60;8.00;1.00;1.24
