time;Flex6;GyroY
3;-1;3.40
106;-9;3.54
208;-1;2.98
311;-3;4.35
413;-1;3.24
517;-1;2.20
619;-1;2.23
721;-1;2.56
824;0;2.54
926;-1;2.40
1030;0;2.52
1132;-1;2.92
1234;-3;2.34
1337;-1;2.51
1440;-1;2.95
1543;-1;3.00
1645;-1;-1.78
1747;-2;3.10
1851;-1;2.71
1953;-1;2.65
2056;-1;3.20
2158;-1;3.43
2262;-7;3.28
2364;-1;3.85
2466;0;4.03
2569;0;5.02
2672;0;1.75
2775;0;2.63
2877;-3;2.51
2979;0;3.24
3083;0;2.70
3185;0;4.11
3288;-1;3.06
3391;-3;2.90
3493;0;3.61
3596;-1;3.78
3698;-2;3.33
3802;-1;2.85
3904;-1;2.26
4006;0;3.12
4109;-1;1.76
4212;-1;1.79
4315;-1;4.62
4417;-1;3.76
4519;-3;2.34
4623;0;3.38
4725;-5;3.21
4828;-1;3.29
4930;-1;1.90
5033;-1;3.27
5136;-1;3.63
5238;-6;2.74
5341;-1;3.45
5444;-1;3.39
5547;-1;2.90
5649;-1;2.75
5751;-1;3.05
5855;-1;2.73
5957;-2;3.25
6060;-7;3.09
6162;-3;2.33
6265;-1;2.80
6368;-5;2.68
6470;-1;2.94
6574;0;2.59
6676;-2;2.86
6778;0;2.60
6881;0;2.40
6984;-3;2.99
7087;-1;6.29
7189;-5;2.46
7291;-1;2.50
7395;-1;2.73
7497;-1;2.66
7600;-2;2.79
7702;-1;3.27
7805;0;3.79
7908;0;3.47
8010;0;4.08
8113;0;4.78
8216;9;52.53
8318;27;22.46
8421;44;42.62
8524;58;58.41
8627;63;76.90
8729;73;51.58
8832;73;9.47
8935;74;12.33
9037;70;2.57
9140;72;5.75
9243;71;7.11
9346;68;6.33
9448;71;2.73
9550;70;2.85
9654;70;2.87
9756;70;3.02
9859;70;2.82
9961;70;2.73
10064;69;2.73
10167;69;2.55
10269;69;4.00
10373;69;2.90
10475;69;19.89
10577;69;1.78
10680;68;-1.15
10783;68;3.33
10886;68;2.83
10988;68;0.81
11091;68;2.92
11194;68;4.31
11296;68;2.65
11400;67;3.36
11502;68;5.11
11604;68;4.53
11707;67;2.71
11810;68;2.07
11913;67;2.46
12015;67;3.31
12119;67;2.73
12221;67;4.38
12323;66;3.12
12427;67;2.81
12529;66;2.27
12632;66;2.85
12735;67;0.79
12837;66;2.76
12940;67;3.87
13042;66;2.05
13146;62;2.71
13248;66;2.78
13350;66;2.76
13454;66;2.59
13556;66;2.64
13659;66;2.39
13762;66;2.85
13864;66;2.85
13967;65;2.70
14069;66;5.89
14173;66;1.21
14275;65;-0.85
14377;65;2.75
14481;65;2.74
14583;63;2.81
14686;65;2.69
14789;64;2.85
14892;60;2.56
14994;64;4.49
15096;64;3.24
15200;64;3.22
15302;64;3.11
15405;59;2.47
15508;64;2.71
15610;64;2.77
15713;64;2.65
15816;62;2.72
15919;64;2.85
16021;64;2.73
16124;63;3.62
16227;64;2.77
16329;62;2.75
16432;63;2.15
16535;64;0.83
16637;57;1.37
16740;63;2.87
16843;63;2.73
16946;63;2.68
17048;63;2.63
17152;63;2.07
17254;63;2.24
17356;61;3.49
17459;63;2.83
17562;63;2.92
17665;63;2.72
17767;63;2.71
17870;62;2.85
17973;63;3.13
18075;63;2.77
18179;63;3.74
18281;63;2.85
18383;63;6.74
18487;66;3.35
18589;72;122.63
18692;88;123.85
18795;86;25.76
18897;85;-3.92
19206;82;6.45
19308;84;1.76
19410;83;3.41
19514;83;2.63
19616;83;5.50
19719;83;5.42
19822;83;1.54
19924;80;2.73
20027;80;2.97
20130;81;4.05
20233;82;3.01
20335;82;-1.82
20438;82;5.13
20541;81;3.75
20643;81;1.38
20746;75;3.35
20849;81;10.67
20952;81;4.56
21054;80;2.31
21157;81;4.49
21260;79;9.91
21362;76;8.60
21466;81;4.54
21568;79;-0.76
21670;82;6.02
21773;82;3.44
21876;77;0.79
21979;81;3.44
22081;77;1.40
22184;81;-0.56
22287;79;5.68
22389;82;6.28
22493;81;4.35
22595;77;3.16
22697;81;2.60
22800;79;9.59
22903;81;1.56
23006;80;12.52
23108;81;8.34
23212;81;1.27
23314;79;3.19
23416;81;7.33
23520;81;0.98
23622;73;2.25
23725;81;1.28
23828;81;4.25
23930;81;1.13
24033;81;4.37
24135;81;-5.05
24239;81;0.36
24341;81;1.79
24443;81;4.79
24547;78;1.60
24649;81;3.99
24752;81;2.63
24855;76;3.50
24957;81;6.38
25060;80;3.89
25162;81;-2.84
25266;79;2.09
25368;81;7.19
25470;79;2.56
25574;76;3.88
25676;81;3.60
25779;78;6.20
25882;81;7.66
25985;78;5.17
26087;76;5.53
26189;81;3.84
26293;74;3.50
26395;81;4.72
26498;80;3.38
26601;81;3.54
26703;77;1.47
26806;75;5.51
26909;80;2.76
27012;79;4.16
27114;80;-0.30
27217;80;-0.02
27320;80;2.56
27422;80;3.06
27525;80;6.88
27628;80;3.39
27730;77;3.53
27833;80;2.82
27936;80;4.31
28039;80;24.31
28141;80;4.49
28244;80;0.51
28347;78;3.13
28449;79;-2.45
28552;79;-28.78
28655;77;-157.55
28758;73;-43.73
28861;67;-111.10
28963;63;-37.38
29066;62;-26.31
29169;55;-37.41
29272;47;18.51
29374;49;-8.52
29477;52;-1.15
29580;51;-2.56
29682;51;-4.08
