time;Flex6;GyroY;angle;filteredAngle
3;652;1.42;1.80;0.28
38;653;7.16;2.70;0.50
74;650;7.42;0.00;-0.17
110;652;11.43;1.80;-0.03
146;653;1.08;2.70;1.00
182;653;-5.35;2.70;1.89
217;651;1.00;0.90;1.73
252;651;5.47;0.90;1.52
288;653;-0.46;2.70;1.97
324;652;2.48;1.80;2.04
360;653;3.13;2.70;2.30
395;653;2.15;2.70;2.51
431;652;1.69;1.80;2.48
466;653;0.73;2.70;2.65
502;652;2.92;1.80;2.59
538;653;-1.34;2.70;2.73
574;652;-9.93;1.80;2.71
609;652;-28.22;1.80;2.73
645;651;-22.44;0.90;2.58
680;650;4.28;0.00;2.25
716;649;12.08;-0.90;1.81
752;649;1.98;-0.90;1.45
788;649;3.02;-0.90;1.13
823;649;2.34;-0.90;0.85
859;650;7.81;0.00;0.72
894;649;5.40;-0.90;0.49
930;649;5.21;-0.90;0.28
966;650;13.51;0.00;0.20
1002;649;-0.47;-0.90;0.04
1038;644;-0.50;-5.40;-0.62
1073;649;4.42;-0.90;-0.72
1108;643;8.20;-6.30;-1.39
1144;650;9.13;0.00;-1.34
1180;649;0.50;-0.90;-1.38
1216;649;-0.79;-0.90;-1.42
1252;649;6.60;-0.90;-1.46
1288;650;10.82;0.00;-1.41
1324;643;2.44;-6.30;-1.94
1358;649;12.98;-0.90;-1.95
1394;650;4.47;0.00;-1.86
1430;647;-1.08;-2.70;-2.02
1466;647;3.20;-2.70;-2.17
1502;649;1.39;-0.90;-2.15
1538;647;1.63;-2.70;-2.28
1573;650;3.31;0.00;-2.18
1608;650;2.29;0.00;-2.09
1644;646;3.63;-3.60;-2.28
1680;649;4.18;-0.90;-2.26
1716;650;1.20;0.00;-2.16
1752;649;4.10;-0.90;-2.14
1787;649;5.35;-0.90;-2.11
1823;649;1.60;-0.90;-2.09
1859;641;1.85;-8.10;-2.59
1894;650;6.37;0.00;-2.48
1930;649;0.95;-0.90;-2.44
1966;650;3.78;0.00;-2.33
2001;650;2.10;0.00;-2.23
2037;650;4.58;0.00;-2.13
2073;649;2.82;-0.90;-2.10
2109;650;3.07;0.00;-2.01
2144;650;6.13;0.00;-1.92
2180;649;6.03;-0.90;-1.90
2215;650;2.82;0.00;-1.81
2251;650;9.89;0.00;-1.74
2287;650;5.46;0.00;-1.66
2323;650;-2.74;0.00;-1.58
2359;650;2.02;0.00;-1.50
2395;650;5.98;0.00;-1.43
2429;650;6.76;0.00;-1.37
2465;650;1.36;0.00;-1.30
2501;650;1.06;0.00;-1.23
2537;650;1.85;0.00;-1.17
2573;648;5.08;-1.80;-1.22
2609;648;1.02;-1.80;-1.27
2644;649;2.35;-0.90;-1.26
2679;650;1.24;0.00;-1.19
2715;650;6.00;0.00;-1.13
2751;645;1.56;-4.50;-1.35
2787;650;4.30;0.00;-1.28
2823;650;4.46;0.00;-1.22
2859;650;2.32;0.00;-1.16
2894;643;3.56;-6.30;-1.48
2929;650;3.56;0.00;-1.41
2965;644;0.85;-5.40;-1.66
3001;650;6.11;0.00;-1.59
3037;649;8.60;-0.90;-1.57
3073;650;0.01;0.00;-1.49
3108;649;1.94;-0.90;-1.47
3144;651;5.09;0.90;-1.34
3180;650;5.05;0.00;-1.28
3215;650;0.73;0.00;-1.21
3251;650;3.27;0.00;-1.14
3287;650;4.53;0.00;-1.08
3322;649;0.37;-0.90;-1.06
3358;650;2.95;0.00;-1.00
3394;650;1.82;0.00;-0.94
3430;650;4.02;0.00;-0.88
3465;650;3.38;0.00;-0.83
3501;650;2.15;0.00;-0.77
3536;647;1.15;-2.70;-0.88
3572;650;3.10;0.00;-0.82
3608;650;0.91;0.00;-0.77
3644;648;2.56;-1.80;-0.82
3680;650;3.00;0.00;-0.77
3716;648;1.98;-1.80;-0.82
3750;650;0.98;0.00;-0.77
3786;648;-2.05;-1.80;-0.82
3822;650;6.70;0.00;-0.77
3858;650;-1.02;0.00;-0.71
3894;644;0.01;-5.40;-0.98
3930;650;4.50;0.00;-0.93
3965;650;6.02;0.00;-0.87
4000;650;6.08;0.00;-0.82
4036;650;3.50;0.00;-0.77
4072;650;7.60;0.00;-0.73
4108;650;4.61;0.00;-0.68
4144;649;2.08;-0.90;-0.69
4179;650;6.60;0.00;-0.64
4215;650;1.84;0.00;-0.60
4250;650;3.36;0.00;-0.55
4286;650;3.72;0.00;-0.51
4322;650;0.66;0.00;-0.47
4358;650;1.39;0.00;-0.43
4393;650;2.66;0.00;-0.39
4429;650;0.16;0.00;-0.35
4465;650;3.63;0.00;-0.32
4501;650;3.54;0.00;-0.28
4536;650;2.69;0.00;-0.25
4572;650;4.08;0.00;-0.22
4608;650;3.75;0.00;-0.20
4643;648;3.63;-1.80;-0.28
4679;650;2.77;0.00;-0.25
4715;650;5.21;0.00;-0.22
4751;648;4.20;-1.80;-0.31
4786;650;2.60;0.00;-0.28
4822;650;1.20;0.00;-0.25
4857;650;0.82;0.00;-0.22
4893;650;1.35;0.00;-0.19
4929;648;3.16;-1.80;-0.27
4965;650;3.14;0.00;-0.25
5001;650;2.50;0.00;-0.22
5037;650;5.29;0.00;-0.20
5071;650;2.68;0.00;-0.18
5107;648;3.86;-1.80;-0.27
5143;648;2.70;-1.80;-0.35
5179;650;2.21;0.00;-0.32
